#    201
polymer number    rg squared    mean rg
274.0000   1158.7967    33.8276
275.0000    21.4328     4.5597
276.0000    70.8469     8.1637
277.0000   524.0216    22.8734
278.0000    13.5312     3.6191
279.0000    24.1292     4.8375
280.0000   346.6450    18.5559
281.0000    20.9826     4.4210
282.0000    14.3771     3.7521
283.0000   464.7617    21.4352
284.0000   1401.2906    37.4086
285.0000    15.6036     3.8940
286.0000    11.9420     3.4050
287.0000    11.6059     3.3479
288.0000   891.5015    29.7845
289.0000    15.3795     3.8764
290.0000   1922.8864    43.8051
291.0000    16.2707     3.9642
292.0000    18.6206     4.2550
293.0000   2235.5284    47.2264
294.0000   1066.5443    32.5577
295.0000    16.0746     3.9135
296.0000   241.3587    15.3851
297.0000    13.7472     3.6694
298.0000    94.6660     9.6341
299.0000   339.5468    18.3081
300.0000    16.6634     4.0179
301.0000   298.7840    17.2422
302.0000    12.2409     3.4449
303.0000    12.8193     3.5279
304.0000   678.1442    25.9941
305.0000    12.4236     3.5030
306.0000    81.6647     8.9379
307.0000    13.2652     3.5936
308.0000    14.9353     3.7592
309.0000   1423.1760    37.7086
310.0000   1441.6569    37.7751
311.0000    53.8228     7.0529
312.0000    15.8454     3.9573
313.0000   525.6094    22.8694
314.0000   1441.3139    37.9223
315.0000    28.8319     5.3373
316.0000   1012.0132    31.7176
317.0000   122.2694    10.9124
318.0000    16.9129     4.0293
319.0000   316.6249    17.6998
320.0000   436.4519    20.8499
321.0000    54.0294     7.3082
322.0000   1190.4923    34.4395
323.0000    18.1008     4.1936
324.0000   1161.1151    34.0559
325.0000    18.6507     4.2021
326.0000    12.4625     3.4867
327.0000   978.3807    31.0817
328.0000   1270.7298    35.5542
329.0000    12.7744     3.5250
330.0000     9.3113     3.0230
331.0000   1019.4521    31.8705
332.0000   1273.0436    35.5939
333.0000   473.5626    21.7499
334.0000    13.6042     3.6128
335.0000    19.0770     4.3111
336.0000    14.5037     3.7276
337.0000    16.6860     3.9590
338.0000   1699.3183    41.1335
339.0000   925.0165    30.3433
340.0000    14.3587     3.7174
341.0000    12.8547     3.5457
342.0000    50.0188     6.9096
343.0000   232.4717    15.1423
344.0000    21.6891     4.5724
345.0000   1239.4952    35.1484
346.0000   1170.3177    34.1669
347.0000   1695.7681    41.0449
348.0000    22.0441     4.6364
349.0000   1692.6723    41.0775
350.0000    19.9331     4.3812
351.0000   248.2531    15.6803
352.0000    12.6197     3.5256
353.0000    14.1588     3.7068
354.0000   1097.0129    32.9806
355.0000   1278.6152    35.7151
356.0000   514.8989    22.6697
357.0000    12.3965     3.4514
358.0000    15.5809     3.9041
359.0000    25.3201     4.9441
360.0000    18.1879     4.1809
361.0000    25.7050     5.0028
362.0000   2046.5738    45.1159
363.0000    17.8059     4.1556
364.0000   2145.9569    46.3035
365.0000    14.2208     3.7138
366.0000    15.8325     3.9117
367.0000   1128.1010    33.5596
368.0000    16.0478     3.9482
369.0000   1828.6787    42.7450
370.0000   3554.9074    59.4920
371.0000   1443.2032    37.9405
372.0000   2466.9572    49.6173
373.0000   5089.1424    71.3235
374.0000    16.7780     4.0018
375.0000    16.3621     3.9936
376.0000   265.0229    16.2316
377.0000    17.7774     4.0867
378.0000   244.0796    15.5793
379.0000    16.7722     4.0205
380.0000   2671.7344    51.6342
381.0000   3021.8089    54.9366
382.0000    14.7156     3.8015
383.0000   392.9514    19.6171
384.0000    10.9218     3.2375
385.0000    18.9867     4.2583
386.0000   271.0289    16.3319
387.0000   340.6934    18.4342
388.0000    16.2488     3.9711
389.0000   1707.3346    41.2641
390.0000    13.0855     3.5869
391.0000   1566.0110    39.5379
392.0000    15.2093     3.7422
393.0000   108.2249    10.3413
394.0000   397.4163    19.8689
395.0000   655.3379    25.5793
396.0000   3156.9869    56.1587
397.0000   1747.7676    41.7603
398.0000    17.9926     4.1669
399.0000    17.7199     4.1497
400.0000   328.3617    18.0917
401.0000    19.3976     4.3239
402.0000   154.1797    12.2341
403.0000   313.4293    17.6267
404.0000    15.3710     3.8386
405.0000    15.2235     3.8449
406.0000   606.2525    24.4772
407.0000    17.1926     4.0233
408.0000    15.5673     3.8522
409.0000   566.7987    23.7385
410.0000    19.4888     4.3791
411.0000    38.5231     6.1333
412.0000    23.2892     4.6854
413.0000   1191.1956    34.4773
414.0000    18.8875     4.3104
415.0000   2276.0407    47.6856
416.0000    19.3993     4.3245
417.0000   826.5477    28.7052
418.0000    13.9945     3.6890
419.0000   389.2110    19.6987
420.0000    20.1172     4.3882
421.0000   723.1970    26.8204
422.0000    50.3774     7.0808
423.0000   411.2057    20.1878
424.0000    16.0889     3.9864
425.0000    11.0241     3.2809
426.0000    17.4830     4.1523
427.0000   475.5656    21.7711
428.0000    18.6855     4.2009
429.0000   762.2123    27.5470
430.0000   911.8199    30.1211
431.0000    16.1097     3.8982
432.0000    22.1714     4.6006
433.0000    17.3063     4.0878
434.0000   161.5656    12.5798
435.0000   677.7964    26.0127
436.0000    18.3991     4.2373
437.0000   211.5962    14.4278
438.0000    10.6360     3.2419
439.0000   306.7542    17.4137
440.0000   121.7262    10.8682
441.0000    13.2872     3.5952
442.0000   596.7746    24.2248
443.0000   3145.2434    56.0582
444.0000   572.0377    23.8941
445.0000   253.1115    15.7797
446.0000   207.5202    14.1475
447.0000    18.3347     4.1296
448.0000   947.0091    30.6718
449.0000    13.4563     3.5977
450.0000   115.3373    10.7065
451.0000    19.7579     4.3755
452.0000    24.1417     4.8568
453.0000   481.1997    21.9078
454.0000   853.1538    29.1729
455.0000   212.1860    14.3337
456.0000   593.1525    24.3191
457.0000   1961.9652    44.2423
458.0000   205.6454    14.2458
459.0000   669.4839    25.7945
460.0000    13.9391     3.6336
461.0000   419.2682    20.4427
462.0000   2036.7739    45.1205
463.0000   487.1551    22.0095
464.0000    12.5975     3.4979
465.0000    16.7447     3.9800
466.0000   352.2467    18.7211
467.0000    58.8381     7.4752
468.0000   286.7915    16.8972
469.0000    13.8587     3.6427
470.0000   189.6412    13.6727
471.0000    25.5576     4.9473
472.0000    16.5124     4.0186
473.0000   229.1606    15.0813
474.0000   2695.0756    51.8749
475.0000   405.1147    20.0014
476.0000    18.5546     4.2463
477.0000    15.7800     3.8956
478.0000    17.0567     4.0515
479.0000   738.8621    27.1555
480.0000   177.1575    12.8586
481.0000    19.5136     4.3704
482.0000   626.1583    24.9449
483.0000    17.6325     4.0964
484.0000    19.2059     4.3166
485.0000    17.5225     4.1006
486.0000   590.1550    24.2333
487.0000    16.8971     4.0367
488.0000   656.2988    25.5194
489.0000    18.8956     4.2710
490.0000   144.6152    12.0074
491.0000   1122.9121    33.4816
492.0000   1228.4214    34.9853
493.0000   1423.4113    37.6561
494.0000    12.4919     3.5014
495.0000    78.8612     8.8367
496.0000   194.6914    13.8502
497.0000   366.6173    18.9741
498.0000    16.9639     4.0938
499.0000   429.6778    20.6056
500.0000    11.9165     3.4102
501.0000    12.0411     3.4232
502.0000    13.5114     3.6504
503.0000    12.5533     3.5082
504.0000   337.8513    18.3464
505.0000    19.9619     4.4056
506.0000   113.1220    10.5868
507.0000   168.2751    12.9427
508.0000    15.4116     3.8895
509.0000   156.6105    12.4511
510.0000    15.1165     3.8454
511.0000   1554.4958    39.3480
512.0000    18.0683     4.1202
513.0000    13.0360     3.5490
514.0000   779.0670    27.8506
515.0000    14.6719     3.7576
516.0000   1194.1427    34.4909
517.0000    59.9537     7.7086
518.0000    10.3720     3.1856
519.0000    16.2670     3.9293
520.0000   654.0997    25.4843
521.0000   885.8562    29.6951
522.0000    18.8421     4.2404
523.0000   959.1015    30.9349
524.0000   1312.6261    36.1941
525.0000    14.4034     3.7546
526.0000   445.7507    21.0789
527.0000   221.2311    14.5735
528.0000   1065.3976    32.5350
529.0000   284.1830    16.6122
530.0000   182.1238    13.3502
531.0000    13.1056     3.5722
532.0000    94.1825     9.6007
533.0000   104.6298    10.1086
534.0000    21.9741     4.5488
535.0000   135.2231    11.4784
536.0000   1633.5293    40.3460
537.0000    16.1196     3.9165
538.0000   365.3068    19.0647
539.0000   1189.4567    34.4114
540.0000    12.2870     3.4703
541.0000   196.2906    13.8426
542.0000   181.5257    13.3915
543.0000    13.7607     3.6055
544.0000   622.0460    24.8103
545.0000    43.7155     6.5747
546.0000   270.1877    16.4225
547.0000    15.9958     3.9422
548.0000   1453.3524    37.9417
549.0000   938.4740    30.5922
550.0000   1396.7124    37.2698
551.0000    14.6547     3.7976
552.0000    11.3580     3.3296
553.0000    19.1549     4.3287
554.0000    19.3014     4.2476
555.0000   194.4207    13.7141
556.0000   1349.9841    36.5980
557.0000    23.9909     4.8413
558.0000    75.8422     8.6246
